期間,幣別,匯率
1980-04-01,歐元EUR/USD,NA
1980-05-01,歐元EUR/USD,NA
1980-06-01,歐元EUR/USD,NA
1980-07-01,歐元EUR/USD,NA
1980-08-01,歐元EUR/USD,NA
1980-09-01,歐元EUR/USD,NA
1980-10-01,歐元EUR/USD,NA
1980-11-01,歐元EUR/USD,NA
1980-12-01,歐元EUR/USD,NA
1981-01-01,歐元EUR/USD,NA
1981-02-01,歐元EUR/USD,NA
1981-03-01,歐元EUR/USD,NA
1981-04-01,歐元EUR/USD,NA
1981-05-01,歐元EUR/USD,NA
1981-06-01,歐元EUR/USD,NA
1981-07-01,歐元EUR/USD,NA
1981-08-01,歐元EUR/USD,NA
1981-09-01,歐元EUR/USD,NA
1981-10-01,歐元EUR/USD,NA
1981-11-01,歐元EUR/USD,NA
1981-12-01,歐元EUR/USD,NA
1982-01-01,歐元EUR/USD,NA
1982-02-01,歐元EUR/USD,NA
1982-03-01,歐元EUR/USD,NA
1982-04-01,歐元EUR/USD,NA
1982-05-01,歐元EUR/USD,NA
1982-06-01,歐元EUR/USD,NA
1982-07-01,歐元EUR/USD,NA
1982-08-01,歐元EUR/USD,NA
1982-09-01,歐元EUR/USD,NA
1982-10-01,歐元EUR/USD,NA
1982-11-01,歐元EUR/USD,NA
1982-12-01,歐元EUR/USD,NA
1983-01-01,歐元EUR/USD,NA
1983-02-01,歐元EUR/USD,NA
1983-03-01,歐元EUR/USD,NA
1983-04-01,歐元EUR/USD,NA
1983-05-01,歐元EUR/USD,NA
1983-06-01,歐元EUR/USD,NA
1983-07-01,歐元EUR/USD,NA
1983-08-01,歐元EUR/USD,NA
1983-09-01,歐元EUR/USD,NA
1983-10-01,歐元EUR/USD,NA
1983-11-01,歐元EUR/USD,NA
1983-12-01,歐元EUR/USD,NA
1984-01-01,歐元EUR/USD,NA
1984-02-01,歐元EUR/USD,NA
1984-03-01,歐元EUR/USD,NA
1984-04-01,歐元EUR/USD,NA
1984-05-01,歐元EUR/USD,NA
1984-06-01,歐元EUR/USD,NA
1984-07-01,歐元EUR/USD,NA
1984-08-01,歐元EUR/USD,NA
1984-09-01,歐元EUR/USD,NA
1984-10-01,歐元EUR/USD,NA
1984-11-01,歐元EUR/USD,NA
1984-12-01,歐元EUR/USD,NA
1985-01-01,歐元EUR/USD,NA
1985-02-01,歐元EUR/USD,NA
1985-03-01,歐元EUR/USD,NA
1985-04-01,歐元EUR/USD,NA
1985-05-01,歐元EUR/USD,NA
1985-06-01,歐元EUR/USD,NA
1985-07-01,歐元EUR/USD,NA
1985-08-01,歐元EUR/USD,NA
1985-09-01,歐元EUR/USD,NA
1985-10-01,歐元EUR/USD,NA
1985-11-01,歐元EUR/USD,NA
1985-12-01,歐元EUR/USD,NA
1986-01-01,歐元EUR/USD,NA
1986-02-01,歐元EUR/USD,NA
1986-03-01,歐元EUR/USD,NA
1986-04-01,歐元EUR/USD,NA
1986-05-01,歐元EUR/USD,NA
1986-06-01,歐元EUR/USD,NA
1986-07-01,歐元EUR/USD,NA
1986-08-01,歐元EUR/USD,NA
1986-09-01,歐元EUR/USD,NA
1986-10-01,歐元EUR/USD,NA
1986-11-01,歐元EUR/USD,NA
1986-12-01,歐元EUR/USD,NA
1987-01-01,歐元EUR/USD,NA
1987-02-01,歐元EUR/USD,NA
1987-03-01,歐元EUR/USD,NA
1987-04-01,歐元EUR/USD,NA
1987-05-01,歐元EUR/USD,NA
1987-06-01,歐元EUR/USD,NA
1987-07-01,歐元EUR/USD,NA
1987-08-01,歐元EUR/USD,NA
1987-09-01,歐元EUR/USD,NA
1987-10-01,歐元EUR/USD,NA
1987-11-01,歐元EUR/USD,NA
1987-12-01,歐元EUR/USD,NA
1988-01-01,歐元EUR/USD,NA
1988-02-01,歐元EUR/USD,NA
1988-03-01,歐元EUR/USD,NA
1988-04-01,歐元EUR/USD,NA
1988-05-01,歐元EUR/USD,NA
1988-06-01,歐元EUR/USD,NA
1988-07-01,歐元EUR/USD,NA
1988-08-01,歐元EUR/USD,NA
1988-09-01,歐元EUR/USD,NA
1988-10-01,歐元EUR/USD,NA
1988-11-01,歐元EUR/USD,NA
1988-12-01,歐元EUR/USD,NA
1989-01-01,歐元EUR/USD,NA
1989-02-01,歐元EUR/USD,NA
1989-03-01,歐元EUR/USD,NA
1989-04-01,歐元EUR/USD,NA
1989-05-01,歐元EUR/USD,NA
1989-06-01,歐元EUR/USD,NA
1989-07-01,歐元EUR/USD,NA
1989-08-01,歐元EUR/USD,NA
1989-09-01,歐元EUR/USD,NA
1989-10-01,歐元EUR/USD,NA
1989-11-01,歐元EUR/USD,NA
1989-12-01,歐元EUR/USD,NA
1990-01-01,歐元EUR/USD,NA
1990-02-01,歐元EUR/USD,NA
1990-03-01,歐元EUR/USD,NA
1990-04-01,歐元EUR/USD,NA
1990-05-01,歐元EUR/USD,NA
1990-06-01,歐元EUR/USD,NA
1990-07-01,歐元EUR/USD,NA
1990-08-01,歐元EUR/USD,NA
1990-09-01,歐元EUR/USD,NA
1990-10-01,歐元EUR/USD,NA
1990-11-01,歐元EUR/USD,NA
1990-12-01,歐元EUR/USD,NA
1991-01-01,歐元EUR/USD,NA
1991-02-01,歐元EUR/USD,NA
1991-03-01,歐元EUR/USD,NA
1991-04-01,歐元EUR/USD,NA
1991-05-01,歐元EUR/USD,NA
1991-06-01,歐元EUR/USD,NA
1991-07-01,歐元EUR/USD,NA
1991-08-01,歐元EUR/USD,NA
1991-09-01,歐元EUR/USD,NA
1991-10-01,歐元EUR/USD,NA
1991-11-01,歐元EUR/USD,NA
1991-12-01,歐元EUR/USD,NA
1992-01-01,歐元EUR/USD,NA
1992-02-01,歐元EUR/USD,NA
1992-03-01,歐元EUR/USD,NA
1992-04-01,歐元EUR/USD,NA
1992-05-01,歐元EUR/USD,NA
1992-06-01,歐元EUR/USD,NA
1992-07-01,歐元EUR/USD,NA
1992-08-01,歐元EUR/USD,NA
1992-09-01,歐元EUR/USD,NA
1992-10-01,歐元EUR/USD,NA
1992-11-01,歐元EUR/USD,NA
1992-12-01,歐元EUR/USD,NA
1993-01-01,歐元EUR/USD,NA
1993-02-01,歐元EUR/USD,NA
1993-03-01,歐元EUR/USD,NA
1993-04-01,歐元EUR/USD,NA
1993-05-01,歐元EUR/USD,NA
1993-06-01,歐元EUR/USD,NA
1993-07-01,歐元EUR/USD,NA
1993-08-01,歐元EUR/USD,NA
1993-09-01,歐元EUR/USD,NA
1993-10-01,歐元EUR/USD,NA
1993-11-01,歐元EUR/USD,NA
1993-12-01,歐元EUR/USD,NA
1994-01-01,歐元EUR/USD,95.27827648114899
1994-02-01,歐元EUR/USD,95.02238137869293
1994-03-01,歐元EUR/USD,92.94220665499124
1994-04-01,歐元EUR/USD,93.18700614574186
1994-05-01,歐元EUR/USD,91.18556701030927
1994-06-01,歐元EUR/USD,89.64527027027027
1994-07-01,歐元EUR/USD,86.78659035159443
1994-08-01,歐元EUR/USD,86.78659035159443
1994-09-01,歐元EUR/USD,85.94331983805668
1994-10-01,歐元EUR/USD,84.17129262490087
1994-11-01,歐元EUR/USD,85.25301204819276
1994-12-01,歐元EUR/USD,87.28618421052632
1995-01-01,歐元EUR/USD,85.45893719806763
1995-02-01,歐元EUR/USD,84.37201907790143
1995-03-01,歐元EUR/USD,80.59225512528474
1995-04-01,歐元EUR/USD,79.14988814317672
1995-05-01,歐元EUR/USD,80.34822104466313
1995-06-01,歐元EUR/USD,79.74455296769347
1995-07-01,歐元EUR/USD,78.91449814126395
1995-08-01,歐元EUR/USD,81.3957055214724
1995-09-01,歐元EUR/USD,82.40683229813665
1995-10-01,歐元EUR/USD,80.28744326777608
1995-11-01,歐元EUR/USD,80.16616314199395
1995-12-01,歐元EUR/USD,81.3957055214724
1996-01-01,歐元EUR/USD,82.47086247086247
1996-02-01,歐元EUR/USD,82.40683229813665
1996-03-01,歐元EUR/USD,82.85714285714286
1996-04-01,歐元EUR/USD,83.97151898734177
1996-05-01,歐元EUR/USD,85.11627906976742
1996-06-01,歐元EUR/USD,84.70869912210695
1996-07-01,歐元EUR/USD,83.50904799370575
1996-08-01,歐元EUR/USD,83.5748031496063
1996-09-01,歐元EUR/USD,83.70662460567823
1996-10-01,歐元EUR/USD,84.30500397140588
1996-11-01,歐元EUR/USD,82.98670836591087
1996-12-01,歐元EUR/USD,84.91199999999999
1997-01-01,歐元EUR/USD,87.35802469135801
1997-02-01,歐元EUR/USD,90.95115681233932
1997-03-01,歐元EUR/USD,92.29565217391304
1997-04-01,歐元EUR/USD,92.69868995633188
1997-05-01,歐元EUR/USD,92.45644599303135
1997-06-01,歐元EUR/USD,93.3509234828496
1997-07-01,歐元EUR/USD,96.14130434782608
1997-08-01,歐元EUR/USD,99.01119402985074
1997-09-01,歐元EUR/USD,96.49090909090908
1997-10-01,歐元EUR/USD,94.76785714285712
1997-11-01,歐元EUR/USD,93.10526315789474
1997-12-01,歐元EUR/USD,95.44964028776978
1998-01-01,歐元EUR/USD,97.55514705882352
1998-02-01,歐元EUR/USD,97.68083931529542
1998-03-01,歐元EUR/USD,97.88803836576592
1998-04-01,歐元EUR/USD,97.72580793665408
1998-05-01,歐元EUR/USD,95.75965355467339
1998-06-01,歐元EUR/USD,96.3682585799891
1998-07-01,歐元EUR/USD,96.71070615034168
1998-08-01,歐元EUR/USD,96.342016882999
1998-09-01,歐元EUR/USD,91.97573656845753
1998-10-01,歐元EUR/USD,88.88702788711164
1998-11-01,歐元EUR/USD,91.09947643979056
1998-12-01,歐元EUR/USD,90.625
1999-01-01,歐元EUR/USD,91.43694004135078
1999-02-01,歐元EUR/USD,94.71711583080491
1999-03-01,歐元EUR/USD,97.53721742326778
1999-04-01,歐元EUR/USD,99.1591928251121
1999-05-01,歐元EUR/USD,99.87767008563094
1999-06-01,歐元EUR/USD,102.28389708008092
1999-07-01,歐元EUR/USD,102.56063387766933
1999-08-01,歐元EUR/USD,100.11318619128467
1999-09-01,歐元EUR/USD,101.08571428571426
1999-10-01,歐元EUR/USD,99.13140935836368
1999-11-01,歐元EUR/USD,102.6201295562216
1999-12-01,歐元EUR/USD,104.98516320474778
2000-01-01,歐元EUR/USD,104.73653049141502
2000-02-01,歐元EUR/USD,107.94264212346181
2000-03-01,歐元EUR/USD,110.06948045214145
2000-04-01,歐元EUR/USD,112.12761462074793
2000-05-01,歐元EUR/USD,117.1781850298079
2000-06-01,歐元EUR/USD,111.8322621430829
2000-07-01,歐元EUR/USD,112.97498669505055
2000-08-01,歐元EUR/USD,117.41150442477874
2000-09-01,歐元EUR/USD,121.73414382383301
2000-10-01,歐元EUR/USD,124.16939635002339
2000-11-01,歐元EUR/USD,123.95188602125424
2000-12-01,歐元EUR/USD,118.34095216858064
2001-01-01,歐元EUR/USD,113.14358810361367
2001-02-01,歐元EUR/USD,115.16927083333333
2001-03-01,歐元EUR/USD,116.75283247167528
2001-04-01,歐元EUR/USD,119.01771697690063
2001-05-01,歐元EUR/USD,121.441647597254
2001-06-01,歐元EUR/USD,124.41683272769896
2001-07-01,歐元EUR/USD,123.34689134224286
2001-08-01,歐元EUR/USD,117.90713174850032
2001-09-01,歐元EUR/USD,116.52212097925127
2001-10-01,歐元EUR/USD,117.1781850298079
2001-11-01,歐元EUR/USD,119.50011258725513
2001-12-01,歐元EUR/USD,118.95102543987448
2002-01-01,歐元EUR/USD,120.19023893103838
2002-02-01,歐元EUR/USD,121.99999999999997
2002-03-01,歐元EUR/USD,121.19205298013244
2002-04-01,歐元EUR/USD,119.82388801083765
2002-05-01,歐元EUR/USD,115.75962482277238
2002-06-01,歐元EUR/USD,111.12972463616376
2002-07-01,歐元EUR/USD,106.99596774193547
2002-08-01,歐元EUR/USD,108.54980568623441
2002-09-01,歐元EUR/USD,108.21778140293637
2002-10-01,歐元EUR/USD,108.21778140293637
2002-11-01,歐元EUR/USD,107.00675471317673
2002-12-01,歐元EUR/USD,104.2632612966601
2003-01-01,歐元EUR/USD,99.94350282485874
2003-02-01,歐元EUR/USD,98.52408799777221
2003-03-01,歐元EUR/USD,98.2413920770085
2003-04-01,歐元EUR/USD,97.8609625668449
2003-05-01,歐元EUR/USD,91.7610443503069
2003-06-01,歐元EUR/USD,91.02135322871109
2003-07-01,歐元EUR/USD,93.34271392137894
2003-08-01,歐元EUR/USD,95.32105972159857
2003-09-01,歐元EUR/USD,94.6242310778283
2003-10-01,歐元EUR/USD,90.78002052685596
2003-11-01,歐元EUR/USD,90.72570305154287
2003-12-01,歐元EUR/USD,86.36992432256488
2004-01-01,歐元EUR/USD,84.15794481446241
2004-02-01,歐元EUR/USD,83.93831553973902
2004-03-01,歐元EUR/USD,86.56716417910447
2004-04-01,歐元EUR/USD,88.53115355742763
2004-05-01,歐元EUR/USD,88.47949316438812
2004-06-01,歐元EUR/USD,87.4443895205141
2004-07-01,歐元EUR/USD,86.53893192009785
2004-08-01,歐元EUR/USD,87.17864476386036
2004-09-01,歐元EUR/USD,86.8789391831055
2004-10-01,歐元EUR/USD,85.0004004164331
2004-11-01,歐元EUR/USD,81.7152975594734
2004-12-01,歐元EUR/USD,79.35107655502392
2005-01-01,歐元EUR/USD,80.13590033975085
2005-02-01,歐元EUR/USD,81.56458925689695
2005-03-01,歐元EUR/USD,80.47615437106678
2005-04-01,歐元EUR/USD,82.04375048311044
2005-05-01,歐元EUR/USD,83.62748187834855
2005-06-01,歐元EUR/USD,87.25748109174614
2005-07-01,歐元EUR/USD,88.18544366899302
2005-08-01,歐元EUR/USD,86.34884477709079
2005-09-01,歐元EUR/USD,86.61661498286273
2005-10-01,歐元EUR/USD,88.34692858331945
2005-11-01,歐元EUR/USD,90.06364022061942
2005-12-01,歐元EUR/USD,89.52429149797571
2006-01-01,歐元EUR/USD,87.70451165096678
2006-02-01,歐元EUR/USD,88.90936505277266
2006-03-01,歐元EUR/USD,88.31017555537066
2006-04-01,歐元EUR/USD,86.50366748166259
2006-05-01,歐元EUR/USD,83.1231889732947
2006-06-01,歐元EUR/USD,83.91177168155586
2006-07-01,歐元EUR/USD,83.6868248837026
2006-08-01,歐元EUR/USD,82.85067520099915
2006-09-01,歐元EUR/USD,83.39750137502946
2006-10-01,歐元EUR/USD,84.16461819046863
2006-11-01,歐元EUR/USD,82.40683229813665
2006-12-01,歐元EUR/USD,80.33605812897366
2007-01-01,歐元EUR/USD,81.6587167256501
2007-02-01,歐元EUR/USD,81.18402937127122
2007-03-01,歐元EUR/USD,80.16010875311532
2007-04-01,歐元EUR/USD,78.53496115427303
2007-05-01,歐元EUR/USD,78.5582118273999
2007-06-01,歐元EUR/USD,79.1026978685348
2007-07-01,歐元EUR/USD,77.38971928545388
2007-08-01,歐元EUR/USD,77.91807370430186
2007-09-01,歐元EUR/USD,76.39268749100331
2007-10-01,歐元EUR/USD,74.6046250087861
2007-11-01,歐元EUR/USD,72.2876796295035
2007-12-01,歐元EUR/USD,72.80334728033472
2008-01-01,歐元EUR/USD,72.12067676836311
2008-02-01,歐元EUR/USD,71.9788417197884
2008-03-01,歐元EUR/USD,68.3715537232672
2008-04-01,歐元EUR/USD,67.3947552225538
2008-05-01,歐元EUR/USD,68.23090768835176
2008-06-01,歐元EUR/USD,68.24845679012346
2008-07-01,歐元EUR/USD,67.30927769674679
2008-08-01,歐元EUR/USD,70.90654018304497
2008-09-01,歐元EUR/USD,73.8827787832382
2008-10-01,歐元EUR/USD,79.77452085682074
2008-11-01,歐元EUR/USD,83.37129840546697
2008-12-01,歐元EUR/USD,77.91807370430186
2009-01-01,歐元EUR/USD,80.16616314199395
2009-02-01,歐元EUR/USD,83.02565707133918
2009-03-01,歐元EUR/USD,81.40819144040496
2009-04-01,歐元EUR/USD,80.48225659690628
2009-05-01,歐元EUR/USD,77.88376871147636
2009-06-01,歐元EUR/USD,75.73314306100606
2009-07-01,歐元EUR/USD,75.34606374671682
2009-08-01,歐元EUR/USD,74.39545805004555
2009-09-01,歐元EUR/USD,72.89835164835165
2009-10-01,歐元EUR/USD,71.64360445494431
2009-11-01,歐元EUR/USD,71.16803003888963
2009-12-01,歐元EUR/USD,72.70360983629016
2010-01-01,歐元EUR/USD,74.37981779957953
2010-02-01,歐元EUR/USD,77.56503946214556
2010-03-01,歐元EUR/USD,78.08430809975722
2010-04-01,歐元EUR/USD,79.16169451073985
2010-05-01,歐元EUR/USD,84.51309817660642
2010-06-01,歐元EUR/USD,86.95011059228312
2010-07-01,歐元EUR/USD,83.064642354046
2010-08-01,歐元EUR/USD,82.33651384686992
2010-09-01,歐元EUR/USD,81.215089142245
2010-10-01,歐元EUR/USD,76.37619630136001
2010-11-01,歐元EUR/USD,77.7354621356379
2010-12-01,歐元EUR/USD,80.29351690748165
2011-01-01,歐元EUR/USD,79.44610778443112
2011-02-01,歐元EUR/USD,77.76393875009158
2011-03-01,歐元EUR/USD,75.81970140724337
2011-04-01,歐元EUR/USD,73.49397590361446
2011-05-01,歐元EUR/USD,73.9754669640368
2011-06-01,歐元EUR/USD,73.76980817347788
2011-07-01,歐元EUR/USD,74.47898393095221
2011-08-01,歐元EUR/USD,74.00641472597964
2011-09-01,歐元EUR/USD,77.198341697578
2011-10-01,歐元EUR/USD,77.44053699109878
2011-11-01,歐元EUR/USD,78.2974328710534
2011-12-01,歐元EUR/USD,80.53721830184382
2012-01-01,歐元EUR/USD,82.24719101123596
2012-02-01,歐元EUR/USD,80.26315789473684
2012-03-01,歐元EUR/USD,80.4029997727445
2012-04-01,歐元EUR/USD,80.64123993314087
2012-05-01,歐元EUR/USD,82.99319727891157
2012-06-01,歐元EUR/USD,84.73574964074724
2012-07-01,歐元EUR/USD,86.40507977857375
2012-08-01,歐元EUR/USD,85.59677419354838
2012-09-01,歐元EUR/USD,82.55425060278446
2012-10-01,歐元EUR/USD,81.80977339293972
2012-11-01,歐元EUR/USD,82.74087932647335
2012-12-01,歐元EUR/USD,80.90555682597758
2013-01-01,歐元EUR/USD,79.8765803732691
2013-02-01,歐元EUR/USD,79.45205479452055
2013-03-01,歐元EUR/USD,81.87287874112927
2013-04-01,歐元EUR/USD,81.48318747121142
2013-05-01,歐元EUR/USD,81.75935911261746
